City,Livability_Score,Listing_Type,Price,Sq_Ft,Beds,Baths,Estimated_monthly_payment,Crime,Employment,Housing,Schools,User_Ratings,Address_Line_1,Agent_Name,Agent_Company,Airports,Colleges,Military_Bases,Shopping_Centers,Parks_and_Recreation,Utilities,Kitchen_Features,HOA,Parking,Garage,Pool,Laundry,Pets_Allowed,State,Zipcode
San Jose,67,House ,949000.0,1287.0,3,2,4482,D,C+,C-,D,C+,1794 Parkdale Way,Lupita Fonseca,Intero Real Estate Services,1,3,1,2,2,3,0,No,No,No,No,No,No,CA,95127
San Jose,67,House ,1939000.0,1996.0,4,3,9158,D,C+,C-,D,C+,1777 Barcelona Ave,Sherri Stoneberger,Legacy Real Estate & Assoc.,1,3,1,2,2,2,3,No,Yes,Yes,Yes,Yes,No,CA,95124
San Jose,67,House ,1098888.0,1207.0,3,2,5190,D,C+,C-,D,C+,5395 Garrison Cir,Laxmi Penupothula,Real Estate Agent,1,1,1,3,0,2,12,No,No,No,No,Yes,No,CA,95123
San Jose,67,House ,899000.0,1655.0,3,3,4246,D,C+,C-,D,C+,7431 Tulare Hill Dr,Rick Trevino,Intero Real Estate Services,1,1,1,3,0,3,7,No,No,No,Yes,Yes,No,CA,95139
San Jose,67,House ,1425000.0,1710.0,3,2,6730,D,C+,C-,D,C+,3438 Glamorgan Ct,Sandy Albanese,Compass,1,3,1,2,2,3,9,No,No,No,No,Yes,No,CA,95127
San Jose,67,House ,749000.0,1130.0,2,3,3537,D,C+,C-,D,C+,1496 Douglas St,Karen Xu,Anew Elite,1,3,1,2,5,3,0,No,No,No,No,No,No,CA,95126
San Jose,67,House ,1900000.0,2045.0,3,3,8973,D,C+,C-,D,C+,3582 Sunnydale Ct,Wayne Haraguchi,Intero Real Estate Services,1,3,1,3,3,3,10,No,No,No,No,Yes,No,CA,95117
San Jose,67,House ,1499900.0,2124.0,4,3,7084,D,C+,C-,D,C+,5059 Glouchester Ct,Peter Q. Nguyen,Bay Realty,1,3,1,2,1,3,0,No,No,No,Yes,Yes,No,CA,95136
San Jose,67,House ,799000.0,1229.0,2,2,3774,D,C+,C-,D,C+,809 Auzerais Ave 224,Justin Carrow,Intero Real Estate Services,1,3,1,1,5,3,8,No,No,No,No,Yes,No,CA,95126
San Jose,67,House ,1049000.0,1818.0,3,3,4954,D,C+,C-,D,C+,800 Gaspar Vis,Zaid Hanna,Real Estate Agent,1,3,1,1,5,3,3,No,No,No,No,Yes,No,CA,95126
San Jose,67,House ,1488000.0,1376.0,3,2,7028,D,C+,C-,D,C+,1180 Lenark Ct,Alex Aung,Home Solutions Realty,1,3,1,1,1,3,7,No,No,No,No,Yes,No,CA,95132
San Jose,67,House ,1598000.0,1733.0,5,3,7547,D,C+,C-,D,C+,15296 Clydelle Ave,David Lillo,DPL Real Estate,1,3,1,2,3,3,12,No,No,No,No,Yes,No,CA,95124
San Jose,67,House ,1699000.0,2319.0,3,3,8024,D,C+,C-,D,C+,6237 Guadalupe Mines Rd,Therese Swan,Compass,1,2,1,2,1,3,6,No,No,No,No,Yes,No,CA,95120
San Jose,67,House ,978000.0,1669.0,3,3,4619,D,C+,C-,D,C+,2532 Baton Rouge Dr,Sophie Shen,SV Capital Group Inc.,1,3,1,2,1,3,7,No,No,No,No,No,No,CA,95133
San Jose,67,House ,998000.0,1558.0,2,3,4713,D,C+,C-,D,C+,1591 Fairway Green Cir,Sophie Shen,SV Capital Group Inc.,1,3,1,2,0,3,9,No,No,No,No,Yes,No,CA,95131
San Jose,67,House ,1299000.0,1176.0,3,2,6135,D,C+,C-,D,C+,1232 Sierra Mar Drive,Alex Bouja,Golden Gate Sotheby's International Realty,1,3,1,1,1,3,2,Yes,Yes,Yes,No,No,No,CA,95118
San Jose,67,House ,1688000.0,2082.0,4,3,7972,D,C+,C-,D,C+,3505 Chablis Cir,Brian Liu,Next Realty,1,3,1,1,1,3,6,No,No,No,Yes,Yes,No,CA,95132
San Jose,67,House ,650000.0,1497.0,2,2,3070,D,C+,C-,D,C+,8489 Grenache Ct,Jill A. Curry,Hewitt Real Estate,1,1,1,3,0,3,6,No,No,No,Yes,Yes,No,CA,95135
San Jose,67,House ,1499000.0,1700.0,4,2,7080,D,C+,C-,D,C+,5760 Condor Circle,Amy A. McCafferty,Golden Gate Sotheby's International Realty,1,3,1,2,1,4,1,Yes,Yes,Yes,No,No,No,CA,95118
San Jose,67,House ,1598000.0,1632.0,3,2,7547,D,C+,C-,D,C+,2812 Thrasher Ln,Sydney Ereno,Sereno,1,3,1,2,0,3,4,No,No,No,No,Yes,No,CA,95125
San Jose,67,House ,1499888.0,1598.0,4,2,7084,D,C+,C-,D,C+,3323 Farthing Way,Randy Rullamas,Real Estate eBroker Inc,1,3,1,3,1,3,0,No,No,No,No,No,No,CA,95132
San Jose,67,House ,599000.0,663.0,1,1,2829,D,C+,C-,D,C+,175 W Saint James St 707,Lisa Lyons,Compass,1,3,1,2,5,3,0,No,No,No,No,No,No,CA,95110
San Jose,67,House ,1895000.0,1600.0,3,2,8950,D,C+,C-,D,C+,1635 Everett,Jayne Gibson,Compass,1,3,1,0,1,3,13,No,No,No,No,Yes,No,CA,95125
San Jose,67,House ,998000.0,1415.0,3,2,4713,D,C+,C-,D,C+,4992 Rice Dr,Rod Hibner,Keller Williams Realty-Silicon Valley,1,3,1,1,1,2,3,No,No,No,No,Yes,No,CA,95111
San Jose,67,House ,699000.0,1149.0,2,2,3301,D,C+,C-,D,C+,1758 Cross Way 180,Zaid Hanna,Real Estate Agent,1,3,1,1,0,3,3,No,No,No,No,Yes,No,CA,95125
San Jose,67,House ,1199000.0,1408.0,3,2,5663,D,C+,C-,D,C+,6505 Kona Ct,Helena Abbott,BayOne Real Estate Inv Corp,1,1,1,3,0,2,1,No,Yes,Yes,Yes,Yes,No,CA,95119
San Jose,67,House ,530000.0,939.0,2,2,2503,D,C+,C-,D,C+,75 Rancho Dr,Joanne Fu,Real Estate Agent,1,3,1,2,1,3,0,No,No,No,No,No,No,CA,95111
San Jose,67,Manufactured ,193300.0,610.0,2,1,913,D,C+,C-,D,C+,1850 Evans Ln 65,Sam Pham,Real Estate Agent,1,3,1,2,1,3,0,No,No,No,No,Yes,No,CA,95125
San Jose,67,House ,1795000.0,1371.0,3,2,8477,D,C+,C-,D,C+,2281 Chesley Dr,Glenn Stansbury,Real Estate Agent,1,3,1,2,3,3,0,No,No,No,No,Yes,No,CA,95130
San Jose,67,House ,849999.0,1129.0,3,2,4014,D,C+,C-,D,C+,1819 Perrone Cir,Olga Golovko,Keller Williams Realty-Silicon Valley,1,3,1,2,2,3,7,No,No,No,Yes,Yes,No,CA,95116
San Jose,67,House ,1190000.0,950.0,2,2,5620,D,C+,C-,D,C+,1138 Cook St,Sala Sala Homes Group,SALA Homes Realty & Development,1,3,1,1,4,3,0,No,No,No,No,No,No,CA,95126
San Jose,67,House ,1599000.0,1453.0,3,2,7552,D,C+,C-,D,C+,1080 Royal Acres Ct,Todd Fernandes,Intero Real Estate Services,1,3,1,1,1,3,0,No,No,No,No,No,No,CA,95136
San Jose,67,House ,1680000.0,2783.0,5,3,7934,D,C+,C-,D,C+,58 Park Sharon Dr,Kim Thanh Nguyen,Highland Rock Realty,1,3,1,1,1,3,8,No,No,No,No,Yes,No,CA,95136
San Jose,67,House ,1428800.0,1486.0,3,2,6748,D,C+,C-,D,C+,4111 Glenmont Dr,Jessica Hooley,Coldwell Banker Realty,1,3,1,1,1,3,0,Yes,Yes,Yes,No,No,No,CA,95136
San Jose,67,House ,1888000.0,1775.0,4,3,8917,D,C+,C-,D,C+,1406 Melwood Dr,Frank Grengo,Coldwell Banker Realty,1,3,1,2,1,4,0,Yes,Yes,Yes,No,No,No,CA,95118
San Jose,67,House ,990000.0,1605.0,3,3,4676,D,C+,C-,D,C+,2409 Venturi Pl 10,Vicky Li,Compass,1,3,1,3,1,3,5,No,No,No,No,Yes,No,CA,95132
San Jose,67,House ,688000.0,1075.0,2,2,3249,D,C+,C-,D,C+,1421 Main Entrance Dr,Sara Huang,Starriver Inc,1,3,1,2,1,2,6,No,No,No,Yes,Yes,No,CA,95131
San Jose,67,House ,1048000.0,1157.0,3,2,4950,D,C+,C-,D,C+,3557 Glasgow Ct,Randall Ramirez,Alum Rock Realty,1,2,1,2,1,3,5,No,No,No,No,Yes,No,CA,95127
